F:\anaconda\python.exe F:\Pycharm\PyCharm\plugins\python\helpers\pydev\pydevconsole.py --mode=client --port=2558
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['D:\\robot\\RunningRobot', 'D:/robot/RunningRobot'])
Python 3.7.6 (default, Jan  8 2020, 20:23:39) [MSC v.1916 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 7.12.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 7.12.0
Python 3.7.6 (default, Jan  8 2020, 20:23:39) [MSC v.1916 64 bit (AMD64)] on win32
In[2]: runfile('D:/robot/RunningRobot/mobilenet/train.py', wdir='D:/robot/RunningRobot/mobilenet')
epoch:3,loss:0.0947
epoch:3,loss:0.0124
epoch:3,loss:0.3792
epoch:3,loss:0.0333
epoch:3,loss:0.0469
epoch:3,loss:0.0320
epoch:3,loss:0.0237
epoch:3,loss:0.3660
epoch:3,loss:0.0463
epoch:3,loss:0.0462
epoch:3,loss:0.0705
epoch:3,loss:0.3078
epoch:3,loss:0.0553
epoch:3,loss:0.4599
epoch:3,loss:0.0209
epoch:3,loss:0.0366
epoch:3,loss:0.0953
epoch:3,loss:0.0096
epoch:3,loss:0.0517
epoch:3,loss:0.0200
epoch:3,loss:0.0886
epoch:3,loss:0.1478
epoch:3,loss:0.0749
epoch:3,loss:0.0097
epoch:3,loss:0.0863
epoch:3,loss:0.0179
epoch:3,loss:0.3689
epoch:3,loss:0.0298
epoch:3,loss:0.0805
epoch:3,loss:0.0148
epoch:3,loss:0.0510
epoch:3,loss:0.0357
epoch:3,loss:0.0442
epoch:3,loss:0.1912
epoch:3,loss:0.1369
epoch:3,loss:0.0419
epoch:3,loss:0.0188
epoch:3,loss:0.0077
epoch:3,loss:0.0311
epoch:3,loss:0.0340
epoch:3,loss:0.0184
epoch:3,loss:0.0026
epoch:3,loss:0.1516
epoch:3,loss:0.0381
epoch:3,loss:0.3796
epoch:3,loss:0.2091
epoch:3,loss:0.0957
epoch:3,loss:0.0356
epoch:3,loss:0.0496
epoch:3,loss:0.0271
epoch:3,loss:0.0934
epoch:3,loss:0.0113
epoch:3,loss:0.1039
epoch:3,loss:0.0105
epoch:3,loss:0.0162
epoch:3,loss:0.1960
epoch:3,loss:0.0337
epoch:3,loss:0.0375
epoch:3,loss:0.5228
epoch:3,loss:0.0503
epoch:3,loss:0.0229
epoch:3,loss:0.1274
epoch:3,loss:0.0045
epoch:3,loss:0.0083
epoch:3,loss:0.6755
epoch:3,loss:0.7022
epoch:3,loss:0.0179
epoch:3,loss:0.0114
epoch:3,loss:0.4568
epoch:3,loss:0.0040
epoch:3,loss:0.2102
epoch:3,loss:0.0256
epoch:3,loss:0.0979
epoch:3,loss:0.0351
epoch:3,loss:0.0316
epoch:3,loss:0.1346
epoch:3,loss:0.0126
epoch:3,loss:0.0155
epoch:3,loss:0.1074
epoch:3,loss:0.0111
epoch:3,loss:0.0151
epoch:3,loss:0.0146
============================================
准确率由： tensor(0.9428) 上升至： tensor(0.9734) 已更新并保存权值为weights/best.pkl
第3个epoch的train_data识别准确率为：97%
epoch:4,loss:0.0680
epoch:4,loss:0.0480
epoch:4,loss:0.0173
epoch:4,loss:0.0216
epoch:4,loss:0.0945
epoch:4,loss:0.0210
epoch:4,loss:0.0116
epoch:4,loss:0.0030
epoch:4,loss:0.0195
epoch:4,loss:0.0409
epoch:4,loss:0.0135
epoch:4,loss:0.0065
epoch:4,loss:0.0466
epoch:4,loss:0.1214
epoch:4,loss:0.0129
epoch:4,loss:0.0067
epoch:4,loss:0.0584
epoch:4,loss:0.0535
epoch:4,loss:0.0129
epoch:4,loss:0.0145
epoch:4,loss:0.0157
epoch:4,loss:0.0225
epoch:4,loss:0.0090
epoch:4,loss:0.0323
epoch:4,loss:0.0707
epoch:4,loss:0.0324
epoch:4,loss:0.0071
epoch:4,loss:0.1838
epoch:4,loss:0.0394
epoch:4,loss:0.0083
epoch:4,loss:0.0103
epoch:4,loss:0.1098
epoch:4,loss:0.3659
epoch:4,loss:0.0163
epoch:4,loss:0.1547
epoch:4,loss:0.0057
epoch:4,loss:0.0071
epoch:4,loss:0.0091
epoch:4,loss:0.0211
epoch:4,loss:0.0247
epoch:4,loss:0.1125
epoch:4,loss:0.2310
epoch:4,loss:0.0200
epoch:4,loss:0.2011
epoch:4,loss:0.0262
epoch:4,loss:0.0020
epoch:4,loss:0.0854
epoch:4,loss:0.0063
epoch:4,loss:0.1223
epoch:4,loss:0.0131
epoch:4,loss:0.0403
epoch:4,loss:0.1935
epoch:4,loss:0.0043
epoch:4,loss:0.0147
epoch:4,loss:0.0102
epoch:4,loss:0.0462
epoch:4,loss:0.0954
epoch:4,loss:0.0567
epoch:4,loss:0.0030
epoch:4,loss:0.0016
epoch:4,loss:0.0375
epoch:4,loss:0.0048
epoch:4,loss:0.0027
epoch:4,loss:0.1283
epoch:4,loss:0.0212
epoch:4,loss:0.0271
epoch:4,loss:0.0098
epoch:4,loss:0.0147
epoch:4,loss:0.0166
epoch:4,loss:0.0174
epoch:4,loss:0.0025
epoch:4,loss:0.0144
epoch:4,loss:0.0815
epoch:4,loss:0.1655
epoch:4,loss:0.0364
epoch:4,loss:0.0016
epoch:4,loss:0.0048
epoch:4,loss:0.0077
epoch:4,loss:0.1149
epoch:4,loss:0.1873
epoch:4,loss:0.1043
epoch:4,loss:0.0030
epoch:4,loss:0.0037
epoch:4,loss:0.0595
epoch:4,loss:0.0057
epoch:4,loss:0.0352
epoch:4,loss:0.0079
epoch:4,loss:0.1615
epoch:4,loss:0.1815
epoch:4,loss:0.0042
epoch:4,loss:0.0244
epoch:4,loss:0.1179
epoch:4,loss:0.0168
epoch:4,loss:0.0342
epoch:4,loss:0.0268
epoch:4,loss:0.3346
epoch:4,loss:0.1938
epoch:4,loss:0.0141
epoch:4,loss:0.0291
epoch:4,loss:0.0952
epoch:4,loss:0.0044
epoch:4,loss:0.1471
epoch:4,loss:0.0187
epoch:4,loss:0.0201
epoch:4,loss:0.1451
epoch:4,loss:0.0132
epoch:4,loss:0.0190
epoch:4,loss:0.0104
epoch:4,loss:0.0587
epoch:4,loss:0.0588
epoch:4,loss:0.0593
epoch:4,loss:0.0178
epoch:4,loss:0.0530
epoch:4,loss:0.0079
epoch:4,loss:0.0155
epoch:4,loss:0.1581
epoch:4,loss:0.2040
epoch:4,loss:0.0183
epoch:4,loss:0.1251
epoch:4,loss:0.1752
epoch:4,loss:0.0334
epoch:4,loss:0.0206
epoch:4,loss:0.0055
epoch:4,loss:0.0097
epoch:4,loss:0.0078
epoch:4,loss:0.1047
epoch:4,loss:0.0229
epoch:4,loss:0.3091
epoch:4,loss:0.0087
epoch:4,loss:0.0059
epoch:4,loss:0.0217
epoch:4,loss:0.0287
epoch:4,loss:0.0843
epoch:4,loss:0.0030
epoch:4,loss:0.0172
epoch:4,loss:0.0070
epoch:4,loss:0.0114
epoch:4,loss:0.0073
epoch:4,loss:0.0080
epoch:4,loss:0.1301
epoch:4,loss:0.0348
epoch:4,loss:0.0200
epoch:4,loss:0.0137
epoch:4,loss:0.0119
============================================
准确率由： tensor(0.9734) 上升至： tensor(0.9809) 已更新并保存权值为weights/best.pkl
第4个epoch的train_data识别准确率为：98%
epoch:5,loss:0.0090
epoch:5,loss:0.0030
epoch:5,loss:0.0925
epoch:5,loss:0.0054
epoch:5,loss:0.0309
epoch:5,loss:0.0073
epoch:5,loss:0.0119
epoch:5,loss:0.0245
epoch:5,loss:0.0076
epoch:5,loss:0.0193
epoch:5,loss:0.0258
epoch:5,loss:0.0320
epoch:5,loss:0.0328
epoch:5,loss:0.2024
epoch:5,loss:0.0165
epoch:5,loss:0.0052
epoch:5,loss:0.0034
epoch:5,loss:0.0018
epoch:5,loss:0.0053
epoch:5,loss:0.2871
epoch:5,loss:0.1113
epoch:5,loss:0.0076
epoch:5,loss:0.0163
epoch:5,loss:0.2550
epoch:5,loss:0.0010
epoch:5,loss:0.0030
epoch:5,loss:0.0068
epoch:5,loss:0.0084
epoch:5,loss:0.0315
epoch:5,loss:0.0018
epoch:5,loss:0.0146
epoch:5,loss:0.0028
epoch:5,loss:0.1064
epoch:5,loss:0.0026
epoch:5,loss:0.0107
epoch:5,loss:0.1660
epoch:5,loss:0.0072
epoch:5,loss:0.0033
epoch:5,loss:0.0323
epoch:5,loss:0.0443
epoch:5,loss:0.0071
epoch:5,loss:0.0090
epoch:5,loss:0.0042
